# elefante-cavalo
ACC Gleam         Média      Desvio Padrão
HOG Luma         Média      Desvio Padrão
   Todos         73.782638  3.246911
  Aguçamento     86.121235  3.941179
  Borramento     89.424940  2.199974
  Composição 16  89.133062  2.157975
  Composição 4   89.065823  2.066247
  Limiares       85.824543  2.896445
  Mistura        87.489563  2.597712
  Ruído          66.763493  2.592067
  SMOTE Visual   64.728147  3.372146
  Saliência      88.876352  2.522921
 SMOTE           79.530137  3.472731
Desbalanceado    89.424940  2.199974

# BigBen + EiffelTower + PisaTower
LBP Intensity                       mean       std
   Todos         67.760598  2.398980
  Aguçamento     68.060298  2.156532
  Borramento     68.168215  2.369960
  Composição 16  68.339365  2.346606
  Composição 4   68.386830  2.301022
  Limiares       67.797922  2.212177
  Mistura        68.249713  2.345068
  Ruído          68.244437  2.364243
  SMOTE Visual   67.617823  2.295574
  Saliência      68.557078  2.239666
 SMOTE           68.582857  2.381638
Desbalanceado    68.602660  2.212402
HOG Intensity                       mean       std
   Todos         84.484077  1.263607
  Aguçamento     87.758528  1.407163
  Borramento     88.291397  1.464939
  Composição 16  88.280242  1.472323
  Composição 4   88.262078  1.486276
  Limiares       88.088858  1.711609
  Mistura        88.049632  1.427445
  Ruído          85.714138  0.895389
  SMOTE Visual   82.703635  0.871827
  Saliência      88.291470  1.583846
 SMOTE           85.299612  1.210397
Desbalanceado    88.287100  1.467879


# TrafalgarSquare + MadeleineChurch + Pantheon
HOG Gleam           mean      Desvio Padrão
   Todos         57.285167  6.383771
  Aguçamento     69.726448  8.069939
  Borramento     70.621480  8.314352
  Composição 16  70.478478  8.366100
  Composição 4   70.837125  7.811876
  Limiares       67.965067  5.699239
  Mistura        65.644708  6.112751
  Ruído          60.777810  8.257640
  SMOTE Visual   53.912270  7.907406
  Saliência      67.584110  6.236710
 SMOTE           62.322870  5.726037
Desbalanceado    70.621480  8.314352
LBP MSB            mean      Desvio Padrão
   Todos         50.918755  5.202628
  Aguçamento     55.421382  4.013506
  Borramento     58.098552  5.141085
  Composição 16  56.220720  4.458686
  Composição 4   57.282263  4.516686
  Limiares       50.161918  4.278987
  Mistura        49.866195  5.770862
  Ruído          58.392777  5.030586
  SMOTE Visual   53.879860  3.292420
  Saliência      53.224420  4.686609
 SMOTE           54.340473  6.921971
Desbalanceado    58.672760  4.916962
